id,kind_id,production_year
1160804,7,2005
694268,7,2006
1698747,1,1964
1181607,2,2007
1070370,7,1965
376636,2,2010
1727750,4,2005
1333459,7,2011
1398720,7,1958
2041676,1,2007
2289506,6,2012
2205254,1,2013
1619733,7,2009
1264716,7,2006
1827793,1,1924
1747492,1,1914
1562669,7,2011
2340679,4,2012
2019123,1,2006
404512,7,1997
932775,7,2011
2446900,1,1994
558609,7,
233841,7,2007
32951,7,2013
590731,7,2008
1718797,1,1972
1598092,7,1967
206666,7,2005
2420614,1,2003
2418956,1,1917
87315,7,1995
713772,7,
1682541,1,1908
2364217,1,1919
724284,7,2008
2215086,3,2003
2241896,3,2004
2522431,1,1965
1437392,7,1982
2030663,1,1977
617894,7,2007
1218709,7,2011
760238,7,1974
66258,7,2010
1219765,7,1994
698790,7,1969
1565567,7,1992
2516956,1,1967
1554027,7,2007
1544043,7,1993
1003777,7,2010
2241049,1,2011
1093123,7,1960
41102,2,1959
1647247,4,2003
1924064,4,2000
1692094,1,1968
727886,7,2001
2427920,1,1971
1050624,2,1950
374503,7,2003
2182639,4,2005
557806,2,2006
1644812,3,2006
476470,7,2002
31307,7,1971
105060,7,2000
257314,7,2011
2059414,3,1998
1011570,7,1970
1415288,7,2001
2184266,3,1998
535699,7,2000
2059207,1,1982
398698,7,1995
898124,7,2000
767846,7,1995
192630,7,1996
1859184,1,1930
817789,7,2009
1235145,7,2004
1589999,7,2010
949600,7,2005
2218755,1,1995
549373,7,1994
810221,7,2005
813272,7,2012
1595872,7,2003
387908,7,2004
1981321,1,1913
1349763,7,2004
1866003,1,
337455,7,1962
2478460,1,2008
2242585,3,2013
1155495,7,2003
1147249,7,2001
840491,7,2007
1928599,1,1924
798774,7,2001
236657,7,2001
1097563,7,2001
1947857,3,1974
1705155,4,2005
1784505,1,1911
1269498,7,2012
2482210,1,2008
1403461,7,2011
2230601,1,1924
2178765,1,2006
2074071,1,1912
310404,7,1968
784298,2,2001
1253815,7,2001
1262319,7,2007
471582,7,2012
1080696,7,2012
978913,2,1979
93544,7,2011
690515,7,2007
1894374,1,2011
2326988,1,2010
2174241,4,2011
1560703,7,1988
1321837,7,2013
1359975,7,2013
2410519,1,1917
33780,7,2011
1705013,1,1964
1508069,7,1980
621309,7,2002
681326,7,1993
624914,7,2010
866519,7,1990
1617418,7,2007
1427267,7,2005
1527163,7,2004
403673,7,
1319227,7,2011
1517195,7,2008
667902,7,1982
179019,7,2005
2469994,1,2010
1699805,1,1948
1854995,1,1969
739068,7,1999
214740,2,2002
1984311,3,2002
2246087,4,2012
1484818,7,2006
2009258,1,1960
2353746,1,1899
694541,7,2009
984521,7,1991
2258275,1,2005
77809,7,2005
1099665,7,2009
95442,7,2007
533196,7,1991
764337,7,2008
866012,7,2012
216197,7,1999
2354933,3,2012
578737,7,1995
2465443,1,2010
563709,7,2012
184313,7,
2200996,1,2007
677961,7,2005
822437,7,2010
2178803,1,1934
788980,7,1993
2287199,1,2010
1094650,7,2008
2161563,3,1954
1163833,7,1998
2171444,1,1988
2260013,4,2010
1971367,1,2006
1079848,7,2009
1161073,7,1999
520775,7,2000
2346110,1,2005
815009,7,2002
1751653,1,
445809,7,2007
2333913,1,2012
2417991,1,1978
1707028,1,2011
1951162,1,1911
1574751,7,1967
1486150,7,1982
922408,7,1995
1810492,1,1996
367639,7,2000
1591445,7,2007
830184,7,1991
847528,7,1991
2112511,4,2006
1494870,7,2000
1868180,4,1989
443130,7,
179822,7,2009
1492534,7,2009
120641,7,1990
1254961,7,2004
779177,7,2009
165698,7,
1754430,1,1903
447599,2,1998
565591,7,2005
21573,7,1992
2261382,1,2000
2375085,1,2006
682578,7,1971
1526089,7,2011
801047,7,1975
42232,7,1996
1028099,7,2005
1235531,7,2009
1621818,7,2012
703132,7,2012
1739581,1,2007
340987,7,1966
638009,7,1998
580764,7,2011
1682996,3,1989
2138862,1,2010
1797906,1,2012
2088767,1,2008
1749116,1,2010
284981,7,2012
2219196,1,1952
1179693,7,1985
1886741,1,2000
1491176,7,1991
368217,7,
463775,7,2006
1825559,1,2006
307295,7,1986
875856,7,1995
2398122,1,1939
1681233,1,2011
2272838,1,1985
2479278,1,2006
264172,7,2010
1185275,7,1954
2252317,6,1997
1052604,7,1986
426622,7,2007
1262020,7,2011
2302150,4,2000
2315614,1,2002
191811,7,1992
2124566,1,1984
1492572,7,2006
2453962,1,1997
527636,7,1967
227457,2,2011
2033287,1,1990
1490509,7,
987879,2,2007
695600,7,2002
1610778,7,1988
2490520,4,2008
1868365,1,2002
204773,7,1978
1611507,7,2004
1563271,7,2010
1417853,7,2006
1050739,7,2008
2014791,1,1957
1281905,7,2005
2204662,1,1995
1693445,1,1992
1533482,7,
770734,2,2000
479707,7,2013
2415252,1,2006
409447,7,2005
1971069,1,1982
1058866,7,2012
596988,7,2009
891218,7,1990
307375,7,1951
2250579,1,1975
756627,2,1987
2514160,1,2007
370698,7,1988
1346573,7,2001
2167922,1,2011
616647,7,1962
2338909,1,2012
1794612,1,1973
150842,7,2007
2334797,1,2002
2487095,1,2010
2118840,4,2007
2158832,1,2006
522151,7,2006
2387506,1,1912
378274,7,
1641241,6,
779694,7,
1843401,4,2008
1594455,7,2006
2184752,4,2002
816975,7,1992
2205314,1,1974
479603,2,1970
206664,7,
1539860,7,1995
1271068,7,1956
939720,7,1989
216433,7,2013
969912,2,1993
1396302,7,2011
773812,7,1958
241064,7,1993
526825,7,
141941,7,2009
981519,7,1987
2343183,1,1913
288899,7,2009
1961786,1,2009
2280814,1,1941
1367853,7,1961
2482515,1,2007
527908,7,2006
1611430,2,2010
1949910,1,2002
1584034,7,2011
1122697,2,2000
2098214,1,1932
1340684,7,1998
261427,2,1966
1100536,7,2012
581451,7,2001
140195,7,1967
2392192,1,1989
1041418,7,2013
1292033,7,2003
2129305,1,1990
13796,7,
64616,7,1976
320942,7,1991
52496,7,2000
760157,7,2005
1455325,7,2007
1930071,1,2008
122634,7,2010
1397735,7,1973
665026,7,2002
2266737,4,
654114,7,
1216865,7,1985
2255067,1,1980
2110849,1,2011
489256,2,1966
1203265,7,2012
1069487,7,1961
587721,7,1987
1794265,1,1929
978752,7,
1590528,7,2001
1482965,7,2004
1822023,1,1971
1318700,7,1996
948249,7,2008
235004,7,1986
2509372,1,1995
2273885,1,1975
2042290,1,1981
1673842,1,1901
1553953,7,2007
47822,7,1995
726637,2,2004
2436115,4,2009
503050,7,2010
1021024,7,2012
1520113,7,2002
225519,7,2005
423077,7,2012
2400569,4,2007
856239,7,
593945,7,2009
485049,7,2003
1113857,7,1997
492613,7,2006
1030641,7,
252377,7,2002
2365454,4,2010
1910031,1,1909
555823,7,2012
216174,7,1995
1266486,7,1983
2075983,1,2008
2234527,1,2012
1059889,7,2006
